modelo,balanceo,balanced_accuracy_cv,pr_auc_cv,roc_auc_cv,recall_cv,precision_cv,f1_cv,pr_auc_test,tiempo_s
XGBoost_hist,sin_balanceo,0.8909,0.9550,0.9998,0.7820,0.9407,0.8537,0.9522,56.6
XGBoost_hist,smote,0.9954,0.9293,0.9998,0.9942,0.4705,0.6384,0.9038,109.7
XGBoost_hist,adasyn,0.9941,0.9237,0.9998,0.9916,0.4608,0.6288,0.9166,135.2
XGBoost_hist,weights,0.9959,0.9017,0.9997,0.9974,0.3481,0.5159,0.9062,44.7
Logistic_Regression,sin_balanceo,0.8440,0.7031,0.9990,0.6887,0.7409,0.7134,0.6817,459.2
Logistic_Regression,smote,0.9967,0.5639,0.9989,0.9981,0.3868,0.5575,0.5500,1136.2
Logistic_Regression,adasyn,0.9967,0.5429,0.9988,0.9981,0.3852,0.5558,0.5224,1291.5
Logistic_Regression,weights,0.9957,0.5135,0.9985,0.9987,0.2919,0.4510,0.4901,6509.6
Naive_Bayes,sin_balanceo,0.9932,0.1791,0.9932,1.0000,0.1791,0.3037,0.1753,42.1
Naive_Bayes,smote,0.9932,0.1870,0.9932,0.9994,0.1871,0.3152,0.1871,81.4
Naive_Bayes,adasyn,0.9932,0.1789,0.9932,1.0000,0.1789,0.3035,0.1742,101.3
Naive_Bayes,weights,0.9932,0.1791,0.9932,1.0000,0.1791,0.3037,0.1753,41.0
LinearSVC,sin_balanceo,0.8341,0.6990,0.9980,0.6688,0.7382,0.7015,0.6844,57.8
LinearSVC,smote,0.9968,0.5342,0.9987,0.9981,0.3930,0.5639,0.5218,325.2
LinearSVC,adasyn,0.9966,0.5210,0.9987,0.9987,0.3492,0.5171,0.5113,244.2
LinearSVC,weights,0.7038,0.6059,0.9989,0.4084,0.6390,0.4971,0.5836,72.7
Random_Forest,sin_balanceo,0.9051,0.9682,0.9999,0.8103,0.9503,0.8745,0.9659,535.3
Random_Forest,smote,0.9938,0.8963,0.9996,0.9974,0.2296,0.3733,0.8913,1672.8
Random_Forest,adasyn,0.9932,0.8646,0.9994,0.9955,0.2433,0.3910,0.8368,1562.0
Random_Forest,weights,0.9944,0.9141,0.9997,1.0000,0.2100,0.3471,0.9231,582.7
