modelo,balanceo,f1_cv_refit,pr_auc_cv,roc_auc_cv,recall_cv,precision_cv,f1_cv,pr_auc_test,roc_auc_test,tiempo_s
Random_Forest,sin_balanceo,0.888623884176542,0.9733968339116734,0.9999015468837005,0.8379569892473118,0.9465047659167347,0.888623884176542,0.965851866874545,0.9998021525644242,1361.9
XGBoost_hist,sin_balanceo,0.8576649543570933,0.9572977430284876,0.9998480899356963,0.7923200992555832,0.9357007393119924,0.8576649543570933,0.9521575796263703,0.9998085205185279,115.8
Random_Forest,weights,0.9009046177048772,0.9460763862988177,0.99986485052486,0.9813523573200993,0.8327737117663269,0.9009046177048772,0.940446328000993,0.9998408109442599,1457.5
Random_Forest,smote,0.9115347837293857,0.9426725782052054,0.9985677023422805,0.9279859387923904,0.896133950013758,0.9115347837293857,0.9297393615187385,0.9984868957301399,4152.5
Random_Forest,adasyn,0.9106337415684493,0.9361239998795524,0.9995096134008448,0.927328370554177,0.8950154993288363,0.9106337415684493,0.9226219148250048,0.9997644542761303,3905.1
XGBoost_hist,adasyn,0.6318672755209475,0.9231250649045618,0.9997494632103647,0.9909925558312654,0.46394620189653857,0.6318672755209475,0.9166266446296542,0.9997094841369365,290.1
XGBoost_hist,weights,0.5139807317977858,0.9064555751322994,0.9997027203580997,0.9980686517783293,0.3461342229881935,0.5139807317977858,0.9061666694262476,0.9997065548780487,98.7
XGBoost_hist,smote,0.6373377974868787,0.9300132488965224,0.9997715655842075,0.9942100909842846,0.4691694061690278,0.6373377974868787,0.9037689133900411,0.9996818864035362,246.4
LinearSVC,sin_balanceo,0.7065722413505402,0.7036768839314362,0.9980778835997517,0.6733126550868487,0.7443998854978752,0.7065722413505402,0.6843571476754133,0.9977154327857546,113.4
Logistic_Regression,sin_balanceo,0.7125989410714871,0.7073491598470721,0.9990466270077117,0.6900330851943755,0.7381169307193933,0.7125989410714871,0.679184974690334,0.9989400981252744,937.4
LinearSVC,weights,0.49251534615563475,0.6088406666127224,0.9988731188045017,0.4019478908188586,0.6396244569332493,0.49251534615563475,0.5835934660375485,0.9988616841181266,141.0
Logistic_Regression,smote,0.5549721157509804,0.5693461640978982,0.9988605042075662,0.9987096774193549,0.3843353650600321,0.5549721157509804,0.5499542201309126,0.9988165206282525,2275.5
Logistic_Regression,adasyn,0.5578700212219772,0.5404929834774671,0.9987475115634945,0.9987096774193549,0.38716003490223894,0.5578700212219772,0.5223626433129764,0.9987372053106778,2488.0
LinearSVC,smote,0.5618463859911854,0.5364164484126294,0.9986992333681023,0.9987096774193549,0.39094351039044,0.5618463859911854,0.5222621232321487,0.9986667267540286,589.6
LinearSVC,adasyn,0.5139933840030708,0.5187857677868236,0.9986430722179485,0.9993548387096775,0.34620408285035936,0.5139933840030708,0.5112783451654522,0.9986843806821745,513.7
Logistic_Regression,weights,0.5399661930820907,0.4811868093634888,0.9983156107289496,0.9993548387096775,0.37273496222695357,0.5399661930820907,0.44727919165458674,0.9981676163082325,14739.3
Naive_Bayes,smote,0.31516961813384203,0.18701028565179662,0.9932413413925685,0.9987138130686517,0.18712505757320697,0.31516961813384203,0.18710918710918711,0.9935594512195122,161.0
Naive_Bayes,weights,0.3130398091283698,0.18643829503302675,0.993530856793211,1.0,0.18558169965973265,0.3130398091283698,0.18639195016770485,0.9935289634146341,69.6
Naive_Bayes,sin_balanceo,0.3130398091283698,0.18643829503302675,0.993530856793211,1.0,0.18558169965973265,0.3130398091283698,0.18639195016770485,0.9935289634146341,70.9
Naive_Bayes,adasyn,0.29983408190695654,0.17650340218827568,0.9930763969532354,1.0,0.17638976681795548,0.29983408190695654,0.174205105239588,0.9929725609756098,203.8
