modelo,balanceo,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__scale_pos_weight,classifier__C,classifier__max_iter,classifier__penalty,classifier__chunk_size,classifier__var_smoothing,classifier__estimator__C,classifier__estimator__max_iter,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split
LinearSVC,adasyn,,,,,,,,,,,0.11400863701127326,3879.0,,,
LinearSVC,sin_balanceo,,,,,,,,,,,0.24810409748678125,2638.0,,,
LinearSVC,smote,,,,,,,,,,,2.1368329072358767,3853.0,,,
LinearSVC,weights,,,,,,,,,,,0.0010071984838809194,1955.0,,,
Logistic_Regression,adasyn,,,,,,0.8471801418819978,1544.0,l1,,,,,,,
Logistic_Regression,sin_balanceo,,,,,,5.678201970293126,885.0,l2,,,,,,,
Logistic_Regression,smote,,,,,,0.8471801418819978,1544.0,l1,,,,,,,
Logistic_Regression,weights,,,,,,0.8471801418819978,1544.0,l1,,,,,,,
Naive_Bayes,adasyn,,,,,,,,,20000.0,7.932047656808553e-07,,,,,
Naive_Bayes,sin_balanceo,,,,,,,,,20000.0,7.932047656808553e-07,,,,,
Naive_Bayes,smote,,,,,,,,,20000.0,6.015308718396468e-08,,,,,
Naive_Bayes,weights,,,,,,,,,20000.0,7.932047656808553e-07,,,,,
Random_Forest,adasyn,,,58.0,,,,,,,,,,sqrt,1.0,8.0
Random_Forest,sin_balanceo,,,58.0,,,,,,,,,,sqrt,1.0,8.0
Random_Forest,smote,,,58.0,,,,,,,,,,sqrt,1.0,8.0
Random_Forest,weights,,,58.0,,,,,,,,,,sqrt,1.0,8.0
XGBoost_hist,adasyn,0.09651675043146653,5.0,171.0,0.8403950683025824,,,,,,,,,,,
XGBoost_hist,sin_balanceo,0.09651675043146653,5.0,171.0,0.8403950683025824,,,,,,,,,,,
XGBoost_hist,smote,0.09651675043146653,5.0,171.0,0.8403950683025824,,,,,,,,,,,
XGBoost_hist,weights,0.09046250126430747,4.0,173.0,0.9666461551336741,142.61699496925587,,,,,,,,,,
